,index,estimator,value,x,se,bias,variance
0,0,snSIPS,2.671231437142107,-3.0,0.04270086873410856,0.02052342569481533,0.029931768796403167
1,0,MSIPS,3.0545157801035367,-3.0,0.008612971116385442,3.6848824745908036e-06,0.019104724327776126
2,0,snIIPS,3.3441583145905605,-3.0,4.599557275341593e-05,1.268881001286911e-05,0.000370661422700829
3,0,MIIPS,3.3802398674004968,-3.0,1.547832078105573e-05,2.1337190556612535e-05,6.181858103795889e-05
4,0,snRIPS,2.6399077435236586,-3.0,0.04663226467374286,0.006965436340005446,0.017334268020660827
5,0,MRIPS,3.291839228565026,-3.0,0.0004982189482595608,5.464803256724787e-06,0.0024650895516841135
6,1,snSIPS,2.671231437142107,-3.0,0.04270086873410856,0.02052342569481533,0.029931768796403167
7,1,MSIPS,3.0545157801035367,-3.0,0.008612971116385442,3.6848824745908036e-06,0.019104724327776126
8,1,snIIPS,3.3441583145905605,-3.0,4.599557275341593e-05,1.268881001286911e-05,0.000370661422700829
9,1,MIIPS,3.3802398674004968,-3.0,1.547832078105573e-05,2.1337190556612535e-05,6.181858103795889e-05
10,1,snRIPS,2.6399077435236586,-3.0,0.04663226467374286,0.006965436340005446,0.017334268020660827
11,1,MRIPS,3.291839228565026,-3.0,0.0004982189482595608,5.464803256724787e-06,0.0024650895516841135
12,2,snSIPS,2.671231437142107,-3.0,0.04270086873410856,0.02052342569481533,0.029931768796403167
13,2,MSIPS,3.0545157801035367,-3.0,0.008612971116385442,3.6848824745908036e-06,0.019104724327776126
14,2,snIIPS,3.3441583145905605,-3.0,4.599557275341593e-05,1.268881001286911e-05,0.000370661422700829
15,2,MIIPS,3.3802398674004968,-3.0,1.547832078105573e-05,2.1337190556612535e-05,6.181858103795889e-05
16,2,snRIPS,2.6399077435236586,-3.0,0.04663226467374286,0.006965436340005446,0.017334268020660827
17,2,MRIPS,3.291839228565026,-3.0,0.0004982189482595608,5.464803256724787e-06,0.0024650895516841135
18,3,snSIPS,2.671231437142107,-3.0,0.04270086873410856,0.02052342569481533,0.029931768796403167
19,3,MSIPS,3.0545157801035367,-3.0,0.008612971116385442,3.6848824745908036e-06,0.019104724327776126
20,3,snIIPS,3.3441583145905605,-3.0,4.599557275341593e-05,1.268881001286911e-05,0.000370661422700829
21,3,MIIPS,3.3802398674004968,-3.0,1.547832078105573e-05,2.1337190556612535e-05,6.181858103795889e-05
22,3,snRIPS,2.6399077435236586,-3.0,0.04663226467374286,0.006965436340005446,0.017334268020660827
23,3,MRIPS,3.291839228565026,-3.0,0.0004982189482595608,5.464803256724787e-06,0.0024650895516841135
24,4,snSIPS,2.671231437142107,-3.0,0.04270086873410856,0.02052342569481533,0.029931768796403167
25,4,MSIPS,3.0545157801035367,-3.0,0.008612971116385442,3.6848824745908036e-06,0.019104724327776126
26,4,snIIPS,3.3441583145905605,-3.0,4.599557275341593e-05,1.268881001286911e-05,0.000370661422700829
27,4,MIIPS,3.3802398674004968,-3.0,1.547832078105573e-05,2.1337190556612535e-05,6.181858103795889e-05
28,4,snRIPS,2.6399077435236586,-3.0,0.04663226467374286,0.006965436340005446,0.017334268020660827
29,4,MRIPS,3.291839228565026,-3.0,0.0004982189482595608,5.464803256724787e-06,0.0024650895516841135
30,5,snSIPS,2.671231437142107,-3.0,0.04270086873410856,0.02052342569481533,0.029931768796403167
31,5,MSIPS,3.0545157801035367,-3.0,0.008612971116385442,3.6848824745908036e-06,0.019104724327776126
32,5,snIIPS,3.3441583145905605,-3.0,4.599557275341593e-05,1.268881001286911e-05,0.000370661422700829
33,5,MIIPS,3.3802398674004968,-3.0,1.547832078105573e-05,2.1337190556612535e-05,6.181858103795889e-05
34,5,snRIPS,2.6399077435236586,-3.0,0.04663226467374286,0.006965436340005446,0.017334268020660827
