[2024-10-21 11:20:50,357][__main__][INFO] - start the experiment. the settings are as follows
[2024-10-21 11:20:50,365][__main__][INFO] - {'n_val_seeds': 1000, 'val_size': 10000, 'test_size': 100000, 'dim_context': 5, 'n_unobserved_cat_dim': 0, 'n_deficient_actions_at_k': 0, 'len_list': 5, 'n_unique_actions_at_k': 20, 'n_cat_dim': 3, 'n_cat_per_dim': 2, 'beta': -1.0, 'eps': 0.3, 'reward_noise': 0.5, 'interaction_noise': 3.0, 'random_state': 12345, 'user_behavior': ['cascade', 'independent', 'standard'], 'variation': {'beta_list': [-3.0, -1.0, 0.0, 1.0, 3.0]}}
[2024-10-21 11:23:00,415][__main__][INFO] - behavior=cascade, beta=-3.0: 100% 1000/1000 [02:08<00:00,  7.77it/s]
[2024-10-21 11:25:05,597][__main__][INFO] - behavior=cascade, beta=-1.0: 100% 1000/1000 [02:03<00:00,  8.08it/s]
[2024-10-21 11:27:05,323][__main__][INFO] - behavior=cascade, beta=0.0: 100% 1000/1000 [01:58<00:00,  8.47it/s]
[2024-10-21 11:28:57,189][__main__][INFO] - behavior=cascade, beta=1.0: 100% 1000/1000 [01:50<00:00,  9.08it/s]
[2024-10-21 11:30:49,586][__main__][INFO] - behavior=cascade, beta=3.0: 100% 1000/1000 [01:51<00:00,  8.99it/s]
[2024-10-21 11:32:57,518][__main__][INFO] - behavior=independent, beta=-3.0: 100% 1000/1000 [01:59<00:00,  8.39it/s]
[2024-10-21 11:34:48,720][__main__][INFO] - behavior=independent, beta=-1.0: 100% 1000/1000 [01:49<00:00,  9.13it/s]
[2024-10-21 11:36:40,886][__main__][INFO] - behavior=independent, beta=0.0: 100% 1000/1000 [01:50<00:00,  9.01it/s]
[2024-10-21 11:38:35,404][__main__][INFO] - behavior=independent, beta=1.0: 100% 1000/1000 [01:52<00:00,  8.86it/s]
[2024-10-21 11:40:31,405][__main__][INFO] - behavior=independent, beta=3.0: 100% 1000/1000 [01:54<00:00,  8.73it/s]
[2024-10-21 11:42:32,530][__main__][INFO] - behavior=standard, beta=-3.0: 100% 1000/1000 [01:52<00:00,  8.88it/s]
[2024-10-21 11:44:27,640][__main__][INFO] - behavior=standard, beta=-1.0: 100% 1000/1000 [01:53<00:00,  8.78it/s]
[2024-10-21 11:46:21,220][__main__][INFO] - behavior=standard, beta=0.0: 100% 1000/1000 [01:51<00:00,  8.93it/s]
[2024-10-21 11:48:15,150][__main__][INFO] - behavior=standard, beta=1.0: 100% 1000/1000 [01:52<00:00,  8.88it/s]
[2024-10-21 11:50:10,067][__main__][INFO] - behavior=standard, beta=3.0: 100% 1000/1000 [01:53<00:00,  8.80it/s]
[2024-10-21 11:50:17,115][__main__][INFO] - finish experiment...
