,index,estimator,value,x,se,bias,variance
0,0,SIPS,0.7327421890631682,2,0.021458344560313987,0.0007954086327752103,0.05292201432036206
1,0,MSIPS,0.8803278879298848,2,1.2078639050003987e-06,0.0001721032207342215,0.0008979113936999085
2,0,IIPS,0.8131402646788745,2,0.004367702340457078,5.402153547713693e-05,0.00479348864386775
3,0,MIIPS,0.8586751614627234,2,0.00042245449524063464,2.907342480366285e-05,0.00040602031188449793
4,0,RIPS,0.7900385285361918,2,0.007954915103730037,1.618055623036118e-05,0.02709400099670151
5,0,MRIPS,0.884066397380262,2,2.340177457099856e-05,0.00037672580772878545,0.0006123606791173663
6,1,SIPS,0.7327421890631682,2,0.021458344560313987,0.0007954086327752103,0.05292201432036206
7,1,MSIPS,0.8803278879298848,2,1.2078639050003987e-06,0.0001721032207342215,0.0008979113936999085
8,1,IIPS,0.8131402646788745,2,0.004367702340457078,5.402153547713693e-05,0.00479348864386775
9,1,MIIPS,0.8586751614627234,2,0.00042245449524063464,2.907342480366285e-05,0.00040602031188449793
10,1,RIPS,0.7900385285361918,2,0.007954915103730037,1.618055623036118e-05,0.02709400099670151
11,1,MRIPS,0.884066397380262,2,2.340177457099856e-05,0.00037672580772878545,0.0006123606791173663
12,2,SIPS,0.7327421890631682,2,0.021458344560313987,0.0007954086327752103,0.05292201432036206
13,2,MSIPS,0.8803278879298848,2,1.2078639050003987e-06,0.0001721032207342215,0.0008979113936999085
14,2,IIPS,0.8131402646788745,2,0.004367702340457078,5.402153547713693e-05,0.00479348864386775
15,2,MIIPS,0.8586751614627234,2,0.00042245449524063464,2.907342480366285e-05,0.00040602031188449793
16,2,RIPS,0.7900385285361918,2,0.007954915103730037,1.618055623036118e-05,0.02709400099670151
17,2,MRIPS,0.884066397380262,2,2.340177457099856e-05,0.00037672580772878545,0.0006123606791173663
18,3,SIPS,0.7327421890631682,2,0.021458344560313987,0.0007954086327752103,0.05292201432036206
19,3,MSIPS,0.8803278879298848,2,1.2078639050003987e-06,0.0001721032207342215,0.0008979113936999085
20,3,IIPS,0.8131402646788745,2,0.004367702340457078,5.402153547713693e-05,0.00479348864386775
21,3,MIIPS,0.8586751614627234,2,0.00042245449524063464,2.907342480366285e-05,0.00040602031188449793
22,3,RIPS,0.7900385285361918,2,0.007954915103730037,1.618055623036118e-05,0.02709400099670151
23,3,MRIPS,0.884066397380262,2,2.340177457099856e-05,0.00037672580772878545,0.0006123606791173663
24,4,SIPS,0.7327421890631682,2,0.021458344560313987,0.0007954086327752103,0.05292201432036206
25,4,MSIPS,0.8803278879298848,2,1.2078639050003987e-06,0.0001721032207342215,0.0008979113936999085
26,4,IIPS,0.8131402646788745,2,0.004367702340457078,5.402153547713693e-05,0.00479348864386775
27,4,MIIPS,0.8586751614627234,2,0.00042245449524063464,2.907342480366285e-05,0.00040602031188449793
28,4,RIPS,0.7900385285361918,2,0.007954915103730037,1.618055623036118e-05,0.02709400099670151
29,4,MRIPS,0.884066397380262,2,2.340177457099856e-05,0.00037672580772878545,0.0006123606791173663
30,5,SIPS,0.7327421890631682,2,0.021458344560313987,0.0007954086327752103,0.05292201432036206
31,5,MSIPS,0.8803278879298848,2,1.2078639050003987e-06,0.0001721032207342215,0.0008979113936999085
32,5,IIPS,0.8131402646788745,2,0.004367702340457078,5.402153547713693e-05,0.00479348864386775
33,5,MIIPS,0.8586751614627234,2,0.00042245449524063464,2.907342480366285e-05,0.00040602031188449793
34,5,RIPS,0.7900385285361918,2,0.007954915103730037,1.618055623036118e-05,0.02709400099670151
35,5,MRIPS,0.884066397380262,2,2.340177457099856e-05,0.00037672580772878545,0.0006123606791173663
36,6,SIPS,0.7327421890631682,2,0.021458344560313987,0.0007954086327752103,0.05292201432036206
37,6,MSIPS,0.8803278879298848,2,1.2078639050003987e-06,0.0001721032207342215,0.0008979113936999085
38,6,IIPS,0.8131402646788745,2,0.004367702340457078,5.402153547713693e-05,0.00479348864386775
39,6,MIIPS,0.8586751614627234,2,0.00042245449524063464,2.907342480366285e-05,0.00040602031188449793
40,6,RIPS,0.7900385285361918,2,0.007954915103730037,1.618055623036118e-05,0.02709400099670151
41,6,MRIPS,0.884066397380262,2,2.340177457099856e-05,0.00037672580772878545,0.0006123606791173663
42,7,SIPS,0.5271324084237414,2,0.12397191072744453,0.0007954086327752103,0.05292201432036206
43,7,MSIPS,0.8992158861383799,2,0.0003994812413960852,0.0001721032207342215,0.0008979113936999085
44,7,IIPS,0.7808917629105593,2,0.009670184528480974,5.402153547713693e-05,0.00479348864386775
45,7,MIIPS,0.851520109631761,2,0.0007677748087899438,2.907342480366285e-05,0.00040602031188449793
46,7,RIPS,0.6725781117588745,2,0.04270453146387627,1.618055623036118e-05,0.02709400099670151
47,7,MRIPS,0.8843134900001264,2,2.5853469244216113e-05,0.00037672580772878545,0.0006123606791173663
48,8,SIPS,0.5271324084237414,2,0.12397191072744453,0.0007954086327752103,0.05292201432036206
49,8,MSIPS,0.8992158861383799,2,0.0003994812413960852,0.0001721032207342215,0.0008979113936999085
50,8,IIPS,0.7808917629105593,2,0.009670184528480974,5.402153547713693e-05,0.00479348864386775
51,8,MIIPS,0.851520109631761,2,0.0007677748087899438,2.907342480366285e-05,0.00040602031188449793
52,8,RIPS,0.6725781117588745,2,0.04270453146387627,1.618055623036118e-05,0.02709400099670151
53,8,MRIPS,0.8843134900001264,2,2.5853469244216113e-05,0.00037672580772878545,0.0006123606791173663
54,9,SIPS,0.5271324084237414,2,0.12397191072744453,0.0007954086327752103,0.05292201432036206
55,9,MSIPS,0.8992158861383799,2,0.0003994812413960852,0.0001721032207342215,0.0008979113936999085
56,9,IIPS,0.7808917629105593,2,0.009670184528480974,5.402153547713693e-05,0.00479348864386775
57,9,MIIPS,0.851520109631761,2,0.0007677748087899438,2.907342480366285e-05,0.00040602031188449793
58,9,RIPS,0.6725781117588745,2,0.04270453146387627,1.618055623036118e-05,0.02709400099670151
59,9,MRIPS,0.8843134900001264,2,2.5853469244216113e-05,0.00037672580772878545,0.0006123606791173663
60,10,SIPS,0.5271324084237414,2,0.12397191072744453,0.0007954086327752103,0.05292201432036206
61,10,MSIPS,0.8992158861383799,2,0.0003994812413960852,0.0001721032207342215,0.0008979113936999085
62,10,IIPS,0.7808917629105593,2,0.009670184528480974,5.402153547713693e-05,0.00479348864386775
63,10,MIIPS,0.851520109631761,2,0.0007677748087899438,2.907342480366285e-05,0.00040602031188449793
64,10,RIPS,0.6725781117588745,2,0.04270453146387627,1.618055623036118e-05,0.02709400099670151
65,10,MRIPS,0.8843134900001264,2,2.5853469244216113e-05,0.00037672580772878545,0.0006123606791173663
66,11,SIPS,0.5271324084237414,2,0.12397191072744453,0.0007954086327752103,0.05292201432036206
67,11,MSIPS,0.8992158861383799,2,0.0003994812413960852,0.0001721032207342215,0.0008979113936999085
68,11,IIPS,0.7808917629105593,2,0.009670184528480974,5.402153547713693e-05,0.00479348864386775
69,11,MIIPS,0.851520109631761,2,0.0007677748087899438,2.907342480366285e-05,0.00040602031188449793
70,11,RIPS,0.6725781117588745,2,0.04270453146387627,1.618055623036118e-05,0.02709400099670151
71,11,MRIPS,0.8843134900001264,2,2.5853469244216113e-05,0.00037672580772878545,0.0006123606791173663
72,12,SIPS,0.5271324084237414,2,0.12397191072744453,0.0007954086327752103,0.05292201432036206
73,12,MSIPS,0.8992158861383799,2,0.0003994812413960852,0.0001721032207342215,0.0008979113936999085
74,12,IIPS,0.7808917629105593,2,0.009670184528480974,5.402153547713693e-05,0.00479348864386775
75,12,MIIPS,0.851520109631761,2,0.0007677748087899438,2.907342480366285e-05,0.00040602031188449793
76,12,RIPS,0.6725781117588745,2,0.04270453146387627,1.618055623036118e-05,0.02709400099670151
77,12,MRIPS,0.8843134900001264,2,2.5853469244216113e-05,0.00037672580772878545,0.0006123606791173663
78,13,SIPS,0.5271324084237414,2,0.12397191072744453,0.0007954086327752103,0.05292201432036206
79,13,MSIPS,0.8992158861383799,2,0.0003994812413960852,0.0001721032207342215,0.0008979113936999085
80,13,IIPS,0.7808917629105593,2,0.009670184528480974,5.402153547713693e-05,0.00479348864386775
81,13,MIIPS,0.851520109631761,2,0.0007677748087899438,2.907342480366285e-05,0.00040602031188449793
82,13,RIPS,0.6725781117588745,2,0.04270453146387627,1.618055623036118e-05,0.02709400099670151
83,13,MRIPS,0.8843134900001264,2,2.5853469244216113e-05,0.00037672580772878545,0.0006123606791173663
84,14,SIPS,0.6876583398419455,2,0.03669926392966562,0.0007954086327752103,0.05292201432036206
85,14,MSIPS,0.8463126970521713,2,0.0010834737378533582,0.0001721032207342215,0.0008979113936999085
86,14,IIPS,0.7838334067343203,2,0.009100292372320603,5.402153547713693e-05,0.00479348864386775
87,14,MIIPS,0.8637256879459615,2,0.0002403483223755478,2.907342480366285e-05,0.00040602031188449793
88,14,RIPS,0.7824849213192984,2,0.00935938953815343,1.618055623036118e-05,0.02709400099670151
89,14,MRIPS,0.8877207316067229,2,7.211189508588188e-05,0.00037672580772878545,0.0006123606791173663
90,15,SIPS,0.6876583398419455,2,0.03669926392966562,0.0007954086327752103,0.05292201432036206
91,15,MSIPS,0.8463126970521713,2,0.0010834737378533582,0.0001721032207342215,0.0008979113936999085
92,15,IIPS,0.7838334067343203,2,0.009100292372320603,5.402153547713693e-05,0.00479348864386775
93,15,MIIPS,0.8637256879459615,2,0.0002403483223755478,2.907342480366285e-05,0.00040602031188449793
94,15,RIPS,0.7824849213192984,2,0.00935938953815343,1.618055623036118e-05,0.02709400099670151
95,15,MRIPS,0.8877207316067229,2,7.211189508588188e-05,0.00037672580772878545,0.0006123606791173663
96,16,SIPS,0.6876583398419455,2,0.03669926392966562,0.0007954086327752103,0.05292201432036206
97,16,MSIPS,0.8463126970521713,2,0.0010834737378533582,0.0001721032207342215,0.0008979113936999085
98,16,IIPS,0.7838334067343203,2,0.009100292372320603,5.402153547713693e-05,0.00479348864386775
99,16,MIIPS,0.8637256879459615,2,0.0002403483223755478,2.907342480366285e-05,0.00040602031188449793
100,16,RIPS,0.7824849213192984,2,0.00935938953815343,1.618055623036118e-05,0.02709400099670151
101,16,MRIPS,0.8877207316067229,2,7.211189508588188e-05,0.00037672580772878545,0.0006123606791173663
102,17,SIPS,0.6876583398419455,2,0.03669926392966562,0.0007954086327752103,0.05292201432036206
103,17,MSIPS,0.8463126970521713,2,0.0010834737378533582,0.0001721032207342215,0.0008979113936999085
104,17,IIPS,0.7838334067343203,2,0.009100292372320603,5.402153547713693e-05,0.00479348864386775
105,17,MIIPS,0.8637256879459615,2,0.0002403483223755478,2.907342480366285e-05,0.00040602031188449793
106,17,RIPS,0.7824849213192984,2,0.00935938953815343,1.618055623036118e-05,0.02709400099670151
107,17,MRIPS,0.8877207316067229,2,7.211189508588188e-05,0.00037672580772878545,0.0006123606791173663
108,18,SIPS,0.6876583398419455,2,0.03669926392966562,0.0007954086327752103,0.05292201432036206
109,18,MSIPS,0.8463126970521713,2,0.0010834737378533582,0.0001721032207342215,0.0008979113936999085
110,18,IIPS,0.7838334067343203,2,0.009100292372320603,5.402153547713693e-05,0.00479348864386775
111,18,MIIPS,0.8637256879459615,2,0.0002403483223755478,2.907342480366285e-05,0.00040602031188449793
112,18,RIPS,0.7824849213192984,2,0.00935938953815343,1.618055623036118e-05,0.02709400099670151
113,18,MRIPS,0.8877207316067229,2,7.211189508588188e-05,0.00037672580772878545,0.0006123606791173663
