,index,estimator,value,x,se,bias,variance
0,0,IIPS,1.4966529601903762,2,8.850055611188207e-05,1.1021885705918438e-07,0.0010568495467280477
1,0,MIIPS,1.484756707546596,2,6.1940220342770505e-06,2.198808053891654e-08,0.00042649269632455026
2,1,IIPS,1.4714759353446585,2,0.0002486787522289101,1.1021885705918438e-07,0.0010568495467280477
3,1,MIIPS,1.4760919130387946,2,0.00012440220702865604,2.198808053891654e-08,0.00042649269632455026
4,2,IIPS,1.4163316223167222,2,0.0050287761720235235,1.1021885705918438e-07,0.0010568495467280477
5,2,MIIPS,1.4702860036763148,2,0.0002876240668828784,2.198808053891654e-08,0.00042649269632455026
6,3,IIPS,1.499753914582671,2,0.0001564607662873594,1.1021885705918438e-07,0.0010568495467280477
7,3,MIIPS,1.4957853878317056,2,7.292991010450149e-05,2.198808053891654e-08,0.00042649269632455026
8,4,IIPS,1.4554953680089064,2,0.0010080700414893528,1.1021885705918438e-07,0.0010568495467280477
9,4,MIIPS,1.4859247090075811,2,1.7444539037657215e-06,2.198808053891654e-08,0.00042649269632455026
10,5,IIPS,1.5313609167046343,2,0.0019461711581150306,1.1021885705918438e-07,0.0010568495467280477
11,5,MIIPS,1.526914950480144,2,0.0015736663508682579,2.198808053891654e-08,0.00042649269632455026
12,6,IIPS,1.5162273634851677,2,0.0008399491778000866,1.1021885705918438e-07,0.0010568495467280477
13,6,MIIPS,1.4737725333945122,2,0.00018152047271994076,2.198808053891654e-08,0.00042649269632455026
14,7,IIPS,1.4510345643100535,2,0.0013112309055665506,1.1021885705918438e-07,0.0010568495467280477
15,7,MIIPS,1.501359829878419,2,0.0001992146813173564,2.198808053891654e-08,0.00042649269632455026
16,8,IIPS,1.5129263851442147,2,0.0006595085411888093,1.1021885705918438e-07,0.0010568495467280477
17,8,MIIPS,1.5332972544666188,2,0.0021207653077718568,2.198808053891654e-08,0.00042649269632455026
18,9,IIPS,1.4842938064926325,2,8.71241647335521e-06,1.1021885705918438e-07,0.0010568495467280477
19,9,MIIPS,1.4820354812143992,2,2.71441579133173e-05,2.198808053891654e-08,0.00042649269632455026
