,index,estimator,value,x,se,bias,variance
0,0,snSIPS,10.327141038908879,0.5,0.022499442021607627,0.00531117744364559,0.0168621609925763
1,0,MSIPS,12.18022605920388,0.5,6.374517346847219e-06,2.0401357598793974e-05,0.004435863354911515
2,0,snIIPS,9.903740813726913,0.5,0.03416848096982412,0.037489136004025606,4.5797986314526616e-05
3,0,MIIPS,9.796751974874866,0.5,0.037501551739100226,0.03728997658821587,3.627145313422131e-05
4,0,snRIPS,10.30098590248572,0.5,0.02314989811192373,0.0012309835472450663,0.007162084684180174
5,0,MRIPS,12.158599084781144,0.5,5.546033986655019e-07,2.6860950387745238e-05,0.0010759134262709113
6,1,snSIPS,10.327141038908879,0.5,0.022499442021607627,0.00531117744364559,0.0168621609925763
7,1,MSIPS,12.18022605920388,0.5,6.374517346847219e-06,2.0401357598793974e-05,0.004435863354911515
8,1,snIIPS,9.903740813726913,0.5,0.03416848096982412,0.037489136004025606,4.5797986314526616e-05
9,1,MIIPS,9.796751974874866,0.5,0.037501551739100226,0.03728997658821587,3.627145313422131e-05
10,1,snRIPS,10.30098590248572,0.5,0.02314989811192373,0.0012309835472450663,0.007162084684180174
11,1,MRIPS,12.158599084781144,0.5,5.546033986655019e-07,2.6860950387745238e-05,0.0010759134262709113
12,2,snSIPS,10.327141038908879,0.5,0.022499442021607627,0.00531117744364559,0.0168621609925763
13,2,MSIPS,12.18022605920388,0.5,6.374517346847219e-06,2.0401357598793974e-05,0.004435863354911515
14,2,snIIPS,9.903740813726913,0.5,0.03416848096982412,0.037489136004025606,4.5797986314526616e-05
15,2,MIIPS,9.796751974874866,0.5,0.037501551739100226,0.03728997658821587,3.627145313422131e-05
16,2,snRIPS,10.30098590248572,0.5,0.02314989811192373,0.0012309835472450663,0.007162084684180174
17,2,MRIPS,12.158599084781144,0.5,5.546033986655019e-07,2.6860950387745238e-05,0.0010759134262709113
18,3,snSIPS,10.327141038908879,0.5,0.022499442021607627,0.00531117744364559,0.0168621609925763
19,3,MSIPS,12.18022605920388,0.5,6.374517346847219e-06,2.0401357598793974e-05,0.004435863354911515
20,3,snIIPS,9.903740813726913,0.5,0.03416848096982412,0.037489136004025606,4.5797986314526616e-05
21,3,MIIPS,9.796751974874866,0.5,0.037501551739100226,0.03728997658821587,3.627145313422131e-05
22,3,snRIPS,10.30098590248572,0.5,0.02314989811192373,0.0012309835472450663,0.007162084684180174
23,3,MRIPS,12.158599084781144,0.5,5.546033986655019e-07,2.6860950387745238e-05,0.0010759134262709113
24,4,snSIPS,10.327141038908879,0.5,0.022499442021607627,0.00531117744364559,0.0168621609925763
25,4,MSIPS,12.18022605920388,0.5,6.374517346847219e-06,2.0401357598793974e-05,0.004435863354911515
26,4,snIIPS,9.903740813726913,0.5,0.03416848096982412,0.037489136004025606,4.5797986314526616e-05
27,4,MIIPS,9.796751974874866,0.5,0.037501551739100226,0.03728997658821587,3.627145313422131e-05
28,4,snRIPS,10.30098590248572,0.5,0.02314989811192373,0.0012309835472450663,0.007162084684180174
29,4,MRIPS,12.158599084781144,0.5,5.546033986655019e-07,2.6860950387745238e-05,0.0010759134262709113
30,5,snSIPS,10.327141038908879,0.5,0.022499442021607627,0.00531117744364559,0.0168621609925763
31,5,MSIPS,12.18022605920388,0.5,6.374517346847219e-06,2.0401357598793974e-05,0.004435863354911515
32,5,snIIPS,9.903740813726913,0.5,0.03416848096982412,0.037489136004025606,4.5797986314526616e-05
33,5,MIIPS,9.796751974874866,0.5,0.037501551739100226,0.03728997658821587,3.627145313422131e-05
34,5,snRIPS,10.30098590248572,0.5,0.02314989811192373,0.0012309835472450663,0.007162084684180174
35,5,MRIPS,12.158599084781144,0.5,5.546033986655019e-07,2.6860950387745238e-05,0.0010759134262709113
36,6,snSIPS,10.327141038908879,0.5,0.022499442021607627,0.00531117744364559,0.0168621609925763
37,6,MSIPS,12.18022605920388,0.5,6.374517346847219e-06,2.0401357598793974e-05,0.004435863354911515
38,6,snIIPS,9.903740813726913,0.5,0.03416848096982412,0.037489136004025606,4.5797986314526616e-05
39,6,MIIPS,9.796751974874866,0.5,0.037501551739100226,0.03728997658821587,3.627145313422131e-05
40,6,snRIPS,10.30098590248572,0.5,0.02314989811192373,0.0012309835472450663,0.007162084684180174
41,6,MRIPS,12.158599084781144,0.5,5.546033986655019e-07,2.6860950387745238e-05,0.0010759134262709113
42,7,snSIPS,12.222049467796401,0.5,3.5607042459136216e-05,0.00531117744364559,0.0168621609925763
43,7,MSIPS,12.419004763171078,0.5,0.0004918670102229412,2.0401357598793974e-05,0.004435863354911515
44,7,snIIPS,9.73778717419552,0.5,0.03940480003750598,0.037489136004025606,4.5797986314526616e-05
45,7,MIIPS,9.790224749806162,0.5,0.03770991683555253,0.03728997658821587,3.627145313422131e-05
46,7,snRIPS,11.359415054743742,0.5,0.004229444131762654,0.0012309835472450663,0.007162084684180174
47,7,MRIPS,12.294384401370934,0.5,0.00014210728762782587,2.6860950387745238e-05,0.0010759134262709113
48,8,snSIPS,12.222049467796401,0.5,3.5607042459136216e-05,0.00531117744364559,0.0168621609925763
49,8,MSIPS,12.419004763171078,0.5,0.0004918670102229412,2.0401357598793974e-05,0.004435863354911515
50,8,snIIPS,9.73778717419552,0.5,0.03940480003750598,0.037489136004025606,4.5797986314526616e-05
51,8,MIIPS,9.790224749806162,0.5,0.03770991683555253,0.03728997658821587,3.627145313422131e-05
52,8,snRIPS,11.359415054743742,0.5,0.004229444131762654,0.0012309835472450663,0.007162084684180174
53,8,MRIPS,12.294384401370934,0.5,0.00014210728762782587,2.6860950387745238e-05,0.0010759134262709113
54,9,snSIPS,12.222049467796401,0.5,3.5607042459136216e-05,0.00531117744364559,0.0168621609925763
