,index,estimator,value,x,se,bias,variance
0,0,snSIPS,2.3017448276907615,9,5.167455293634856e-05,4.673240321555309e-05,0.00022112084589611183
1,0,MSIPS,2.326672006723617,9,1.2697375082782346e-05,1.781785314949917e-05,0.0005243606046410497
2,0,snIIPS,2.3023122696368423,9,4.8215618628143285e-05,1.1116883444594835e-05,2.681181871484658e-05
3,0,MIIPS,2.3179209813754946,9,4.462308053519063e-08,1.2892195547253957e-05,4.8827457468816394e-05
4,0,snRIPS,2.2870751164697665,9,0.0001826819141921583,2.0568538499948958e-05,0.00010762626976284373
5,0,MRIPS,2.306854340258106,9,2.4846392686223245e-05,1.4238154174796624e-05,0.00019972164428684648
6,1,snSIPS,2.3017448276907615,9,5.167455293634856e-05,4.673240321555309e-05,0.00022112084589611183
7,1,MSIPS,2.326672006723617,9,1.2697375082782346e-05,1.781785314949917e-05,0.0005243606046410497
8,1,snIIPS,2.3023122696368423,9,4.8215618628143285e-05,1.1116883444594835e-05,2.681181871484658e-05
9,1,MIIPS,2.3179209813754946,9,4.462308053519063e-08,1.2892195547253957e-05,4.8827457468816394e-05
10,1,snRIPS,2.2870751164697665,9,0.0001826819141921583,2.0568538499948958e-05,0.00010762626976284373
11,1,MRIPS,2.306854340258106,9,2.4846392686223245e-05,1.4238154174796624e-05,0.00019972164428684648
12,2,snSIPS,2.3017448276907615,9,5.167455293634856e-05,4.673240321555309e-05,0.00022112084589611183
13,2,MSIPS,2.326672006723617,9,1.2697375082782346e-05,1.781785314949917e-05,0.0005243606046410497
14,2,snIIPS,2.3023122696368423,9,4.8215618628143285e-05,1.1116883444594835e-05,2.681181871484658e-05
15,2,MIIPS,2.3179209813754946,9,4.462308053519063e-08,1.2892195547253957e-05,4.8827457468816394e-05
16,2,snRIPS,2.2870751164697665,9,0.0001826819141921583,2.0568538499948958e-05,0.00010762626976284373
17,2,MRIPS,2.306854340258106,9,2.4846392686223245e-05,1.4238154174796624e-05,0.00019972164428684648
18,3,snSIPS,2.3017448276907615,9,5.167455293634856e-05,4.673240321555309e-05,0.00022112084589611183
